,rain_mm,Q_in_cms,Q_out_cms,dam_el_masl,MW_schedule,operation_mode
2025-12-12 20:00:00,0.0,0.3150239780353528,0.0,330.23142834156704,0.0,recovery
2025-12-12 21:00:00,0.0,0.3150239452472918,0.0,330.2355608870904,0.0,recovery
2025-12-12 22:00:00,0.0,0.3150238613691499,0.0,330.23969343151344,0.0,recovery
2025-12-12 23:00:00,0.0,0.3150237864184015,0.0,330.24382597495327,0.0,recovery
2025-12-13 00:00:00,0.0,0.3150237605589905,0.0,330.24795851805385,0.0,recovery
2025-12-13 01:00:00,0.0,0.3150237862965373,0.0,330.2520910614921,0.0,recovery
2025-12-13 02:00:00,0.0,0.31502383635291986,0.0,330.25622360558697,0.0,recovery
2025-12-13 03:00:00,0.0,0.3150238764335532,0.0,330.26035615020766,0.0,recovery
2025-12-13 04:00:00,0.0,0.3150238863437336,0.0,330.26448869495835,0.0,recovery
2025-12-13 05:00:00,0.0,0.3150238679251833,0.0,330.2686212394674,0.0,recovery
2025-12-13 06:00:00,0.0,0.3150238385782695,0.0,330.2727537835915,0.0,recovery
2025-12-13 07:00:00,0.0,0.31502381758775383,0.0,330.2768863274402,0.0,recovery
2025-12-13 08:00:00,0.0,0.3150238147570273,0.0,330.2810188712518,0.0,recovery
2025-12-13 09:00:00,0.0,0.31502382720587374,0.0,330.28515141522666,0.0,recovery
2025-12-13 10:00:00,0.0,0.3150238441277788,0.0,330.2892839594235,0.0,recovery
2025-12-13 11:00:00,0.0,0.315023854853935,0.0,330.29341650376114,0.0,recovery
2025-12-13 12:00:00,0.0,0.31502385484989115,0.0,330.2975490480987,0.0,recovery
2025-12-13 13:00:00,0.0,0.31502384676524187,0.0,330.30168159233017,0.0,recovery
2025-12-13 14:00:00,0.0,0.31502383716350807,0.0,330.3058141364357,0.0,recovery
2025-12-13 15:00:00,0.0,0.3150238318464302,0.0,330.30994668047146,0.0,recovery
2025-12-13 16:00:00,0.0,0.31502383276243423,0.0,330.3140792245192,0.0,recovery
2025-12-13 17:00:00,0.0,0.3150238378559424,0.0,330.31821176863383,0.0,recovery
2025-12-13 18:00:00,0.0,0.31502384321715504,0.0,330.32234431281876,0.0,recovery
2025-12-13 19:00:00,0.0,0.3150238457495594,0.0,330.32647685703694,0.0,recovery
2025-12-13 20:00:00,0.0,0.31502384471960704,0.0,330.3306094012416,0.0,recovery
2025-12-13 21:00:00,0.0,0.31502384158837543,0.0,330.33474194540514,0.0,recovery
2025-12-13 22:00:00,0.0,0.3150238386442356,0.0,330.3388744895301,0.0,recovery
2025-12-13 23:00:00,0.0,0.315023837505226,0.0,330.3430070336401,0.0,recovery
2025-12-14 00:00:00,0.0,0.3150238383698262,0.0,330.3471395777614,0.0,recovery
2025-12-14 01:00:00,0.0,0.3150238402549928,0.0,330.35127212190747,0.0,recovery
2025-12-14 02:00:00,0.0,0.31502384184333126,0.0,330.3554046660744,0.0,recovery
2025-12-14 03:00:00,0.0,0.31502384231025415,0.0,330.3595372102474,0.0,recovery
2025-12-14 04:00:00,0.0,0.31502384166850056,0.0,330.36366975441206,0.0,recovery
2025-12-14 05:00:00,0.0,0.3150238405543544,0.0,330.3678022985621,0.0,recovery
2025-12-14 06:00:00,0.0,0.31502383971414155,0.0,330.3719348427011,0.0,recovery
2025-12-14 07:00:00,0.0,0.315023839555215,0.0,330.376067386838,0.0,recovery
2025-12-14 08:00:00,0.0,0.31502383999932526,0.0,330.38019993098067,0.0,recovery
2025-12-14 09:00:00,0.0,0.3150238406466568,0.0,330.3843324751319,0.0,recovery
2025-12-14 10:00:00,0.0,0.3150238410811626,0.0,330.3884650192888,0.0,recovery
2025-12-14 11:00:00,0.0,0.3150238411097425,0.0,330.3925975634461,0.0,recovery
2025-12-14 12:00:00,0.0,0.3150238408163899,0.0,330.3967301075995,0.0,recovery
2025-12-14 13:00:00,0.0,0.31502384044634996,0.0,330.4008626517481,0.0,recovery
2025-12-14 14:00:00,0.0,0.3150238402277102,0.0,330.40499519589383,0.0,recovery
2025-12-14 15:00:00,0.0,0.315023840246706,0.0,330.4091277400398,0.0,recovery
2025-12-14 16:00:00,0.0,0.3150238404339715,0.0,330.41326028418825,0.0,recovery
2025-12-14 17:00:00,0.0,0.3150238406421388,0.0,330.4173928283394,0.0,recovery
2025-12-14 18:00:00,0.0,0.3150238407483826,0.0,330.42152537249194,0.0,recovery
